corruption_level,trial,strict_success,inversion_tolerant_success,steps_to_converge,initial_energy,final_energy
0.5,20,0,0,5,0.49999999999999994,-47.52000000000001
0.5,21,0,1,4,0.4999999999999998,-49.5
0.5,22,1,1,4,0.5,-49.5
0.5,23,0,1,6,0.5,-49.5
0.5,24,0,0,4,0.5000000000000001,-47.52000000000001
0.5,25,1,1,4,0.4999999999999998,-49.5
0.5,26,0,0,3,0.5,-43.68000000000002
0.5,27,0,1,5,0.5000000000000001,-49.5
0.5,28,0,0,6,0.5000000000000001,-47.52000000000001
0.5,29,1,1,6,0.5,-49.5
0.5,30,0,0,5,0.49999999999999994,-47.52000000000001
0.5,31,1,1,5,0.5,-49.5
0.5,32,1,1,5,0.5000000000000001,-49.5
0.5,33,1,1,6,0.5,-49.5
0.5,34,1,1,6,0.5000000000000001,-49.5
0.5,35,1,1,5,0.5000000000000001,-49.5
0.5,36,0,1,6,0.5000000000000001,-49.5
0.5,37,0,1,5,0.5000000000000001,-49.5
0.5,38,0,0,3,0.5,-45.58000000000001
0.5,39,0,0,6,0.5,-47.52000000000001
0.5,40,0,0,3,0.5000000000000001,-47.52000000000001
0.5,41,1,1,5,0.5,-49.5
0.5,42,0,1,6,0.5,-49.5
0.5,43,1,1,5,0.5,-49.5
0.5,44,1,1,5,0.5000000000000001,-49.5
0.5,45,1,1,5,0.5,-49.5
0.5,46,0,0,5,0.5,-47.52000000000002
0.5,47,0,0,4,0.5,-47.52000000000001
0.5,48,1,1,5,0.49999999999999994,-49.5
0.5,49,0,0,5,0.5,-47.52000000000001
