n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
5,3,5,1,1,-61.42000000000001
5,4,5,0,0,-63.84000000000002
5,0,6,0,0,-48.96000000000001
5,1,6,1,1,-53.1
5,2,6,0,0,-47.36
5,3,6,1,1,-61.42000000000001
5,4,6,0,0,-64.14
5,0,7,0,0,-47.68000000000001
5,1,7,1,1,-53.1
5,2,7,1,1,-49.660000000000004
5,3,7,1,1,-61.42000000000001
5,4,7,0,0,-63.67999999999999
5,0,8,1,1,-50.220000000000006
5,1,8,1,1,-53.1
5,2,8,1,1,-49.660000000000004
5,3,8,1,1,-61.42000000000001
5,4,8,0,0,-64.32000000000001
5,0,9,1,1,-50.220000000000006
5,1,9,0,0,-64.0
5,2,9,1,1,-49.660000000000004
5,3,9,0,0,-64.0
5,4,9,0,0,-64.06000000000002
5,0,10,1,1,-50.220000000000006
5,1,10,0,0,-52.48000000000001
5,2,10,0,0,-45.18
5,3,10,1,1,-61.42000000000001
5,4,10,0,0,-64.14
5,0,11,1,1,-50.220000000000006
5,1,11,1,1,-53.1
5,2,11,1,1,-49.660000000000004
5,3,11,1,1,-61.42000000000001
5,4,11,0,0,-64.14
5,0,12,1,1,-50.220000000000006
5,1,12,1,1,-53.1
5,2,12,0,0,-47.52000000000001
5,3,12,1,1,-61.42000000000001
5,4,12,0,0,-64.14
5,0,13,1,1,-50.220000000000006
5,1,13,1,1,-53.1
5,2,13,1,1,-49.660000000000004
5,3,13,0,0,-64.0
5,4,13,0,0,-63.580000000000005
5,0,14,0,0,-47.90000000000001
5,1,14,0,0,-52.960000000000015
5,2,14,1,1,-49.660000000000004
5,3,14,0,0,-58.239999999999995
5,4,14,0,0,-62.46
5,0,15,1,1,-50.220000000000006
5,1,15,0,0,-52.48000000000002
5,2,15,1,1,-49.660000000000004
5,3,15,0,0,-58.239999999999995
5,4,15,0,0,-64.14
5,0,16,1,1,-50.220000000000006
5,1,16,1,1,-53.1
5,2,16,1,1,-49.660000000000004
5,3,16,0,0,-64.0
5,4,16,0,0,-64.32000000000001
5,0,17,0,0,-47.52000000000001
5,1,17,1,1,-53.1
5,2,17,0,0,-47.52000000000001
5,3,17,0,0,-60.64
5,4,17,0,0,-64.32000000000001
5,0,18,1,1,-50.220000000000006
5,1,18,1,1,-53.1
5,2,18,1,1,-49.660000000000004
5,3,18,0,0,-54.56000000000001
5,4,18,0,0,-63.66000000000001
5,0,19,1,1,-50.220000000000006
5,1,19,1,1,-53.1
5,2,19,1,1,-49.660000000000004
5,3,19,0,0,-55.580000000000005
5,4,19,0,0,-64.32000000000001
5,0,20,1,1,-50.220000000000006
5,1,20,0,0,-45.26
5,2,20,0,0,-47.68000000000001
5,3,20,1,1,-61.42000000000001
5,4,20,0,0,-64.32000000000001
5,0,21,1,1,-50.220000000000006
5,1,21,1,1,-53.1
5,2,21,1,1,-49.660000000000004
5,3,21,1,1,-61.42000000000001
5,4,21,0,0,-61.60000000000001
5,0,22,1,1,-50.220000000000006
5,1,22,1,1,-53.1
5,2,22,1,1,-49.660000000000004
5,3,22,1,1,-61.42000000000001
5,4,22,0,0,-64.14
5,0,23,1,1,-50.220000000000006
5,1,23,1,1,-53.1
5,2,23,0,0,-48.0
5,3,23,0,0,-64.0
5,4,23,0,0,-64.14
5,0,24,1,1,-50.220000000000006
5,1,24,1,1,-53.1
5,2,24,0,0,-47.84
5,3,24,0,0,-63.580000000000005
5,4,24,0,0,-64.32000000000001
5,0,25,0,0,-63.360000000000014
5,1,25,1,1,-53.1
