trial,classification,final_energy,hamming_to_nearest_stored
442,Inverted,-49.860000,100
443,Stored,-49.860000,0
444,Inverted,-49.860000,100
445,Inverted,-48.900000,100
446,Inverted,-49.860000,100
447,Stored,-48.900000,0
448,Mixture,-43.700000,26
449,Mixture,-42.720000,27
450,Unknown Attractor,-34.500000,68
451,Mixture,-41.860000,28
452,Inverted,-48.900000,100
453,Inverted,-48.900000,100
454,Inverted,-48.900000,100
455,Inverted,-50.100000,100
456,Inverted,-50.100000,100
457,Inverted,-48.900000,100
458,Inverted,-49.860000,100
459,Inverted,-49.860000,100
460,Inverted,-47.680000,99
461,Inverted,-50.100000,100
462,Stored,-48.320000,1
463,Inverted,-50.100000,100
464,Mixture,-43.700000,26
465,Mixture,-43.700000,26
466,Stored,-46.020000,2
467,Stored,-48.900000,0
468,Unknown Attractor,-34.500000,68
469,Inverted,-48.320000,99
470,Mixture,-43.700000,26
471,Stored,-49.860000,0
472,Stored,-48.900000,0
473,Inverted,-49.860000,100
474,Stored,-49.860000,0
475,Inverted,-49.860000,100
476,Inverted,-44.900000,98
477,Stored,-48.900000,0
478,Stored,-49.860000,0
479,Stored,-49.860000,0
480,Inverted,-49.860000,100
481,Inverted,-48.900000,100
482,Stored,-49.860000,0
483,Stored,-49.860000,0
484,Stored,-49.860000,0
485,Inverted,-45.620000,98
486,Inverted,-49.860000,100
487,Inverted,-48.900000,100
488,Stored,-49.860000,0
489,Inverted,-50.100000,100
490,Inverted,-50.100000,100
491,Inverted,-48.900000,100
492,Stored,-50.100000,0
493,Stored,-48.900000,0
494,Mixture,-43.700000,74
495,Inverted,-48.900000,100
496,Mixture,-42.720000,73
497,Inverted,-48.900000,100
498,Stored,-49.860000,0
499,Inverted,-49.860000,100
